"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080073","BSU30210","NP_390899.1","dithiobiotin synthetase","58531","Escherichia coli 536","110640982","ECP_0792","WP_000030928.1","dithiobiotin synthetase","1","","ECP_1537[putative dithiobiotin synthetase]","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080073","BSU30210","NP_390899.1","dithiobiotin synthetase","58531","Escherichia coli 536","110641715","ECP_1537","WP_000919226.1","putative dithiobiotin synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080074","BSU30220","NP_390900.1","8-amino-7-oxononanoate synthase","58531","Escherichia coli 536","110643861","ECP_3718","WP_001213845.1","2-amino-3-ketobutyrate coenzyme A ligase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080075","BSU30230","NP_390901.1","adenosylmethionine--8-amino-7-oxononanoate transaminase","58531","Escherichia coli 536","110640978","ECP_0788","WP_032143195.1","adenosylmethionine--8-amino-7-oxononanoate transaminase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080078","BSU30260","NP_390904.1","LacI family transcriptional regulator","58531","Escherichia coli 536","110643319","ECP_3166","WP_000212455.1","DNA-binding transcriptional repressor EbgR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080080","BSU30280","NP_390906.1","carbohydrate ABC transporter permease","58531","Escherichia coli 536","110641545","ECP_1363","WP_001080790.1","binding-protein-dependent transport system inner membrane component","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080082","BSU30300","NP_390908.1","alpha-D-galactoside galactohydrolase","58531","Escherichia coli 536","110644477","ECP_4362","WP_000986620.1","alpha-galactosidase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767695","BSU30310","NP_390909.2","sulfur transferase","58531","Escherichia coli 536","110643657","ECP_3510","WP_000371924.1","thiosulfate sulfurtransferase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080084","BSU30320","NP_390910.1","leucyl-tRNA synthetase","58531","Escherichia coli 536","110640871","ECP_0672","WP_011579093.1","leucyl-tRNA synthetase","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080100","BSU30480","NP_390926.1","Fe-S oxidoreductase","58531","Escherichia coli 536","110643452","ECP_3299","WP_001298679.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080103","BSU30510","NP_390929.1","phospholipase component of bacilysocin synthesis or export","58531","Escherichia coli 536","110641595","ECP_1415","WP_000431870.1","hypothetical protein","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080104","BSU30520","NP_390930.1","hypothetical protein","58531","Escherichia coli 536","110643518","ECP_3367","WP_001541769.1","putative transferase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080105","BSU30530","NP_390931.1","amino acid permease","58531","Escherichia coli 536","110640663","ECP_0461","WP_001295329.1","putative proline-specific permease","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080106","BSU30540","NP_390932.1","asparagine synthetase","58531","Escherichia coli 536","110640885","ECP_0686","WP_000337011.1","asparagine synthetase B","2","BSU10790[asparagine synthetase];BSU39920[asparagine synthetase]","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080107","BSU30550","NP_390933.1","S-adenosylmethionine synthetase","58531","Escherichia coli 536","110643090","ECP_2935","WP_001062128.1","S-adenosylmethionine synthetase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767698","BSU30560","NP_390934.2","phosphoenolpyruvate carboxykinase","58531","Escherichia coli 536","110643636","ECP_3489","WP_001298201.1","phosphoenolpyruvate carboxykinase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080117","BSU30650","NP_390943.1","DNA-protecting protein, ferritin","58531","Escherichia coli 536","110641016","ECP_0826","WP_000100800.1","DNA starvation/stationary phase protection protein Dps","1","BSU32990[metalloregulation DNA-binding stress protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080119","BSU30670","NP_390945.1","S-ribosylhomocysteinase","58531","Escherichia coli 536","110642812","ECP_2652","WP_001130208.1","S-ribosylhomocysteinase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080122","BSU30700","NP_390948.1","50S ribosomal protein L31 type B","58531","Escherichia coli 536","110640565","ECP_0360","WP_000803998.1","50S ribosomal protein L31 type B","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080126","BSU30740","NP_390952.1","manganese ABC transporter permease","58531","Escherichia coli 536","110641372","ECP_1190","WP_001101732.1","iron transport protein, inner membrane component","2","BSU30750[manganese ABC transporter permease]","ECP_1189[iron transport protein, inner membrane component]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080126","BSU30740","NP_390952.1","manganese ABC transporter permease","58531","Escherichia coli 536","110641371","ECP_1189","WP_000968121.1","iron transport protein, inner membrane component","1","BSU30750[manganese ABC transporter permease]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080127","BSU30750","NP_390953.1","manganese ABC transporter permease","58531","Escherichia coli 536","110641371","ECP_1189","WP_000968121.1","iron transport protein, inner membrane component","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080127","BSU30750","NP_390953.1","manganese ABC transporter permease","58531","Escherichia coli 536","110641372","ECP_1190","WP_001101732.1","iron transport protein, inner membrane component","1","","ECP_1189[iron transport protein, inner membrane component]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080128","BSU30760","NP_390954.1","manganese ABC transporter ATP-binding protein","58531","Escherichia coli 536","110641373","ECP_1191","WP_000983702.1","iron transport protein, ATP-binding component","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080129","BSU30770","NP_390955.1","manganese ABC transporter manganese binding lipoprotein","58531","Escherichia coli 536","110643966","ECP_3824","WP_000830501.1","putative periplasmic binding protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080130","BSU30780","NP_390956.1","O-succinylbenzoate-CoA synthase","58531","Escherichia coli 536","110641560","ECP_1378","WP_001261210.1","putative mandelate racemase/muconate lactonizing enzyme family protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080132","BSU30800","NP_390958.1","naphthoate synthase","58531","Escherichia coli 536","110642471","ECP_2306","WP_000639996.1","naphthoate synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080133","BSU30810","NP_390959.1","esterase","58531","Escherichia coli 536","110642472","ECP_2307","WP_000600525.1","acyl-CoA thioester hydrolase YfbB","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080134","BSU30820","NP_390960.1","2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase","58531","Escherichia coli 536","110642473","ECP_2308","WP_001297887.1","2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080138","BSU30860","NP_390964.1","UDP-glucose dehydrogenase","58531","Escherichia coli 536","110642241","ECP_2071","WP_000704861.1","UDP-glucose 6-dehydrogenase","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080146","BSU30940","NP_390972.1","glycogen phosphorylase","58531","Escherichia coli 536","110643669","ECP_3522","WP_000993444.1","glycogen phosphorylase","1","","ECP_3503[maltodextrin phosphorylase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080146","BSU30940","NP_390972.1","glycogen phosphorylase","58531","Escherichia coli 536","110643650","ECP_3503","WP_000081889.1","maltodextrin phosphorylase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080147","BSU30950","NP_390973.1","glycogen synthase","58531","Escherichia coli 536","110643670","ECP_3523","WP_001197646.1","glycogen synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080149","BSU30970","NP_390975.1","glucose-1-phosphate adenylyltransferase","58531","Escherichia coli 536","110643671","ECP_3524","WP_000253975.1","glucose-1-phosphate adenylyltransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080150","BSU30980","NP_390976.1","glycogen branching enzyme","58531","Escherichia coli 536","110643673","ECP_3526","WP_001283717.1","glycogen branching enzyme","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080153","BSU31010","NP_390979.1","flotillin-like protein","58531","Escherichia coli 536","110643294","ECP_3140","WP_001330005.1","putative membrane protein YqiK","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767703","BSU31050","NP_390983.2","choline dehydrogenase","58531","Escherichia coli 536","110642625","ECP_2465","WP_001298450.1","ethanolamine utilization protein EutG","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767703","BSU31050","NP_390983.2","choline dehydrogenase","58531","Escherichia coli 536","110643834","ECP_3691","WP_000741507.1","putative alcohol dehydrogenase","2","","ECP_2465[ethanolamine utilization protein EutG];ECP_2782[L-1,2-propanediol oxidoreductase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767703","BSU31050","NP_390983.2","choline dehydrogenase","58531","Escherichia coli 536","110642940","ECP_2782","WP_001541711.1","L-1,2-propanediol oxidoreductase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080163","BSU31110","NP_390989.1","hypothetical protein","58531","Escherichia coli 536","110643810","ECP_3665","WP_001296516.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080164","BSU31120","NP_390990.1","exoglucosaminidase","58531","Escherichia coli 536","162138279","ECP_1073","WP_011579110.1","flagellar rod assembly protein/muramidase FlgJ","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080167","BSU31150","NP_390993.1","undecaprenyl pyrophosphate phosphatase","58531","Escherichia coli 536","110643301","ECP_3147","WP_001305111.1","undecaprenyl pyrophosphate phosphatase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080168","BSU31160","NP_390994.1","integral inner membrane protein","58531","Escherichia coli 536","110642655","ECP_2495","WP_000892033.1","putative permease PerM","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080169","BSU31170","NP_390995.1","biofilm formation protein","58531","Escherichia coli 536","110643331","ECP_3178","WP_011579210.1","oxidoreductase YgjR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080170","BSU31180","NP_390996.1","L-rhamnose isomerase","58531","Escherichia coli 536","110644240","ECP_4113","WP_001298699.1","L-rhamnose isomerase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080171","BSU31190","NP_390997.1","L-rhamnose mutarotase","58531","Escherichia coli 536","110644238","ECP_4111","WP_000619492.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080172","BSU31200","NP_390998.1","rhamnulokinase","58531","Escherichia coli 536","110644241","ECP_4114","WP_000144094.1","rhamnulokinase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080173","BSU31210","NP_390999.1","DeoR family transcriptional regulator","58531","Escherichia coli 536","110643374","ECP_3221","WP_000072187.1","DNA-binding transcriptional regulator AgaR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080173","BSU31210","NP_390999.1","DeoR family transcriptional regulator","58531","Escherichia coli 536","110642298","ECP_2128","WP_001367074.1","galactitol utilization operon repressor","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080173","BSU31210","NP_390999.1","DeoR family transcriptional regulator","58531","Escherichia coli 536","110642827","ECP_2667","WP_000804544.1","DNA-bindng transcriptional repressor SrlR","2","","ECP_3221[DNA-binding transcriptional regulator AgaR];ECP_2128[galactitol utilization operon repressor]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080175","BSU31230","NP_391001.1","methyl-accepting chemotaxis protein","58531","Escherichia coli 536","110644790","ECP_4683","WP_000919563.1","methyl-accepting chemotaxis protein I","3","BSU18610[methyl-accepting chemotaxis protein];BSU31260[methyl-accepting chemotaxis protein];BSU33690[methyl-accepting transducer]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767704","BSU31240","NP_391002.2","methyl-accepting chemotaxis protein","58531","Escherichia coli 536","110642002","ECP_1830","WP_001298462.1","methyl-accepting chemotaxis protein II","3","BSU03440[methyl-accepting chemotaxis protein];BSU13950[methyl-accepting chemotaxis protein];BSU31250[methyl-accepting chemotaxis protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080177","BSU31250","NP_391003.1","methyl-accepting chemotaxis protein","58531","Escherichia coli 536","110642002","ECP_1830","WP_001298462.1","methyl-accepting chemotaxis protein II","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767705","BSU31260","NP_391004.2","methyl-accepting chemotaxis protein","58531","Escherichia coli 536","110644790","ECP_4683","WP_000919563.1","methyl-accepting chemotaxis protein I","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767707","BSU31280","NP_391006.2","hypothetical protein","58531","Escherichia coli 536","110644403","ECP_4284","WP_000270369.1","hypothetical protein","","","","Non-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767709","BSU31300","NP_391008.2","hypothetical protein","58531","Escherichia coli 536","110644583","ECP_4471","WP_000935036.1","hypothetical protein","2","BSU09550[transporter or sensor];BSU26610[membrane associated protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767712","BSU31322","NP_391010.3","potassium channel protein","58531","Escherichia coli 536","110641480","ECP_1298","WP_001313775.1","voltage-gated potassium channel","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767713","BSU31350","NP_391013.2","glucose-6-phosphate isomerase","58531","Escherichia coli 536","110644364","ECP_4243","WP_000789981.1","glucose-6-phosphate isomerase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080188","BSU31360","NP_391014.1","NADH-dependent butanol dehydrogenase","58531","Escherichia coli 536","110643248","ECP_3094","WP_001058802.1","alcohol dehydrogenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080189","BSU31370","NP_391015.1","NADH-dependent butanol dehydrogenase","58531","Escherichia coli 536","110643248","ECP_3094","WP_001058802.1","alcohol dehydrogenase","1","BSU31360[NADH-dependent butanol dehydrogenase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812284","BSU31400","NP_391018.2","hypothetical protein","58531","Escherichia coli 536","110640832","ECP_0633","WP_000183963.1","putative aminotransferase","1","BSU09570[aspartate aminotransferase]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080196","BSU31440","NP_391022.1","C-S lyase","58531","Escherichia coli 536","110641744","ECP_1566","WP_000459357.1","MalY protein","1","","ECP_2826[putative aminotransferase]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080196","BSU31440","NP_391022.1","C-S lyase","58531","Escherichia coli 536","110642981","ECP_2826","WP_000382417.1","putative aminotransferase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812285","BSU31480","NP_391026.2","exporter","58531","Escherichia coli 536","110641230","ECP_1046","WP_000074159.1","drug efflux system protein MdtG","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767716","BSU31490","NP_391027.2","penicillin-binding protein 4","58531","Escherichia coli 536","110640370","ECP_0159","WP_000918171.1","penicillin-binding protein 1b","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080204","BSU31520","NP_391030.1","sensory histidine kinase DcuS","58531","Escherichia coli 536","110644483","ECP_4368","WP_001216466.1","sensory histidine kinase DcuS","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080205","BSU31530","NP_391031.1","two-component response regulator YufL","58531","Escherichia coli 536","110644482","ECP_4367","WP_000611288.1","DNA-binding transcriptional activator DcuR","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","161511068","BSU31600","NP_391038.2","monovalent cation/H+ antiporter subunit A","58531","Escherichia coli 536","110642482","ECP_2317","WP_001056621.1","NADH dehydrogenase subunit L","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767720","BSU31630","NP_391041.3","monovalent cation/H+ antiporter subunit D","58531","Escherichia coli 536","110642481","ECP_2316","WP_000926460.1","NADH dehydrogenase subunit M","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767723","BSU31670","NP_391045.2","esterase","58531","Escherichia coli 536","110640828","ECP_0629","WP_000637953.1","hypothetical protein","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767723","BSU31670","NP_391045.2","esterase","58531","Escherichia coli 536","110641807","ECP_1633","WP_000637986.1","hypothetical protein","1","","ECP_0629[hypothetical protein]","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080231","BSU31800","NP_391058.1","integral inner membrane protein","58531","Escherichia coli 536","110642655","ECP_2495","WP_000892033.1","putative permease PerM","2","BSU27420[permease];BSU31160[integral inner membrane protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080244","BSU31930","NP_391071.1","L-alanine dehydrogenase","58531","Escherichia coli 536","110641725","ECP_1547","WP_001298661.1","NAD(P) transhydrogenase subunit alpha","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767731","BSU31959","YP_003097779","hypothetical protein","58531","Escherichia coli 536","110640816","ECP_0617","WP_000885787.1","MbtH-like protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767732","BSU31960","NP_391076.3","siderophore 2,3-dihydroxybenzoate-glycine-threonine trimeric ester bacillibactin synthetase","58531","Escherichia coli 536","110640817","ECP_0618","WP_000077761.1","enterobactin synthase subunit F","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080250","BSU31970","NP_391077.1","isochorismatase","58531","Escherichia coli 536","110640826","ECP_0627","WP_001007238.1","isochorismatase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080251","BSU31980","NP_391078.1","2,3-dihydroxybenzoate-AMP ligase","58531","Escherichia coli 536","110642117","ECP_1946","WP_001088826.1","yersiniabactin siderophore biosynthetic protein YbtE","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767733","BSU31990","NP_391079.2","isochorismate synthase DhbC","58531","Escherichia coli 536","110640824","ECP_0625","WP_001298341.1","isochorismate synthase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767734","BSU32000","NP_391080.2","2,3-dihydroxybenzoate-2,3-dehydrogenase","58531","Escherichia coli 536","110640827","ECP_0628","WP_000347657.1","2,3-dihydroxybenzoate-2,3-dehydrogenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767735","BSU32010","NP_391081.2","bacillibactin trilactone hydrolase","58531","Escherichia coli 536","110640509","ECP_0303","WP_000271273.1","IroE protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080255","BSU32020","NP_391082.1","sulfite oxidase","58531","Escherichia coli 536","110644667","ECP_4560","WP_000730195.1","hypothetical protein","1","","ECP_1905[putative sulfite oxidase subunit YedY]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080255","BSU32020","NP_391082.1","sulfite oxidase","58531","Escherichia coli 536","110642077","ECP_1905","YP_669807.1","putative sulfite oxidase subunit YedY","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080258","BSU32050","NP_391085.1","leucyl aminopeptidase","58531","Escherichia coli 536","110644619","ECP_4509","WP_000397144.1","leucyl aminopeptidase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080263","BSU32100","NP_391090.1","NAD-disulfide oxidoreductase","58531","Escherichia coli 536","110641285","ECP_1101","WP_001295966.1","NADH dehydrogenase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080269","BSU32160","NP_391096.1","chaperone involved in Fe-S cluster assembly","58531","Escherichia coli 536","110640377","ECP_0166","WP_001295564.1","iron-sulfur cluster insertion protein ErpA","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080270","BSU32170","NP_391097.1","diaminopimelate epimerase","58531","Escherichia coli 536","110644134","ECP_4003","WP_001160654.1","diaminopimelate epimerase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080271","BSU32180","NP_391098.1","Na+(H+)/nucleoside cotransporter","58531","Escherichia coli 536","110642374","ECP_2204","WP_000353896.1","putative Na+ dependent nucleoside transporter-family protein","1","","ECP_2201[putative Na+ dependent nucleoside transporter-family protein]","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080271","BSU32180","NP_391098.1","Na+(H+)/nucleoside cotransporter","58531","Escherichia coli 536","110642371","ECP_2201","WP_001335299.1","putative Na+ dependent nucleoside transporter-family protein","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767740","BSU32230","NP_391103.2","acylaminoacyl-peptidase","58531","Escherichia coli 536","110640948","ECP_0751","WP_001295307.1","translocation protein TolB","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080277","BSU32240","NP_391104.1","homoserine kinase","58531","Escherichia coli 536","110640216","ECP_0003","WP_000241654.1","homoserine kinase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080282","BSU32290","NP_391109.1","p-nitrophenyl phosphatase","58531","Escherichia coli 536","110640886","ECP_0687","WP_000153129.1","UMP phosphatase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","50812289","BSU32330","NP_391113.2","lipoyl synthase","58531","Escherichia coli 536","110640857","ECP_0658","WP_000042632.1","lipoyl synthase","","","","SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767743","BSU32390","NP_391119.2","hypothetical protein","58531","Escherichia coli 536","110641986","ECP_1812","WP_000639278.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080294","BSU32410","NP_391121.1","allantoinase","58531","Escherichia coli 536","110640772","ECP_0572","WP_000006873.1","allantoinase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080296","BSU32430","NP_391123.1","uric acid permease","58531","Escherichia coli 536","110643036","ECP_2881","WP_001295374.1","putative purine permease YgfU","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080297","BSU32440","NP_391124.1","uric acid permease","58531","Escherichia coli 536","110643036","ECP_2881","WP_001295374.1","putative purine permease YgfU","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","255767744","BSU32460","NP_391126.2","urate oxidase structural factor","58531","Escherichia coli 536","110642075","ECP_1903","WP_000920127.1","transthyretin-like protein precursor","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080300","BSU32470","NP_391127.1","xanthine dehydrogenase, iron-sulfur subunit","58531","Escherichia coli 536","110643017","ECP_2862","WP_001016595.1","xanthine dehydrogenase subunit XdhC","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080301","BSU32480","NP_391128.1","xanthine dehydrogenase, substrate and molybdenum cofactor subunit","58531","Escherichia coli 536","110643015","ECP_2860","WP_000388181.1","xanthine dehydrogenase subunit XdhA","1","","ECP_2875[putative selenate reductase subunit YgfN]",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080301","BSU32480","NP_391128.1","xanthine dehydrogenase, substrate and molybdenum cofactor subunit","58531","Escherichia coli 536","110643030","ECP_2875","WP_000583647.1","putative selenate reductase subunit YgfN","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080302","BSU32490","NP_391129.1","xanthine dehydrogenase, FAD-binding subunit","58531","Escherichia coli 536","110643016","ECP_2861","WP_000459216.1","xanthine dehydrogenase subunit XdhB","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080304","BSU32510","NP_391131.1","xanthine dehydrogenase molybdopterin recruitment factor","58531","Escherichia coli 536","110643024","ECP_2869","WP_001020384.1","hypothetical protein","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080306","BSU32530","NP_391133.1","allantoate amidohydrolase","58531","Escherichia coli 536","110640776","ECP_0576","WP_011579092.1","allantoate amidohydrolase","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080307","BSU32540","NP_391134.1","extracellular ribonuclease","58531","Escherichia coli 536","110643094","ECP_2939","WP_001298248.1","endonuclease I precursor","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080308","BSU32550","NP_391135.1","multiple sugar ABC transporter ATP-binding protein","58531","Escherichia coli 536","110643690","ECP_3543","WP_000907825.1","glycerol-3-phosphate transporter ATP-binding subunit","1","BSU38810[multiple sugar-binding transporter ATP-binding protein]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","161511067","BSU32560","NP_391136.2","DNA-binding transcriptional regulator FrlR","58531","Escherichia coli 536","110642309","ECP_2139","WP_000434049.1","transcriptional regulator YegW","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080311","BSU32580","NP_391138.1","fructose-amino acid permease","58531","Escherichia coli 536","110641546","ECP_1364","WP_000224675.1","binding-protein-dependent transport system inner membrane component","1","BSU28730[arabinose/arabinan permease]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080312","BSU32590","NP_391139.1","fructose-amino acid permease","58531","Escherichia coli 536","110643692","ECP_3545","WP_000099281.1","glycerol-3-phosphate transporter permease","1","BSU06980[rhamnogalacturonan permease]","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080313","BSU32600","NP_391140.1","fructose amino acid-binding lipoprotein","58531","Escherichia coli 536","110641544","ECP_1362","WP_000597417.1","extracellular solute-binding protein YcjN","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080316","BSU32630","NP_391143.1","oxidoreductase","58531","Escherichia coli 536","110641414","ECP_1232","WP_001266908.1","D-amino acid dehydrogenase small subunit","","","",""
"ortholuge","57675","Bacillus subtilis subsp. subtilis str. 168","16080319","BSU32670","NP_391146.1","FeS cluster formation protein","58531","Escherichia coli 536","110641804","ECP_1630","WP_001298238.1","cysteine desulfurase activator complex subunit SufB","","","",""
